name,result_text,result_half,confident_text,confident_half,matching_result
question_3_183_295.jpg,2l,2l,0.932,0.956,2l
question_4_295_407.jpg,out,2,0.275,1.0,JSON
question_5_407_520.jpg,2,out,1.0,0.358,JSON
question_5_407_520.jpg,2,2,1.0,1.0,2
question_6_520_633.jpg,2d,out,1.0,0.432,JSON
question_6_520_633.jpg,2d,out,1.0,0.373,JSON
question_7_633_746.jpg,out,out,0.135,0.397,JSON
question_8_746_860.jpg,3,3,1.0,1.0,3
question_12_1341_1447.jpg,out,7al,0.376,0.87,JSON
question_13_1447_1551.jpg,7,7,1.0,1.0,7
question_13_1447_1551.jpg,7,out,1.0,0.534,JSON
question_14_1551_1656.jpg,8l,8al,0.986,0.972,8l
question_15_1656_1761.jpg,out,8,0.62,0.988,JSON
question_15_1656_1761.jpg,out,out,0.62,0.659,JSON
question_17_1868_1975.jpg,10,1,0.965,0.999,10
question_17_1868_1975.jpg,10,10,0.965,0.954,10
question_18_1975_2080.jpg,1,1,1.0,1.0,1
question_19_2080_2184.jpg,12,out,0.96,0.819,JSON
question_20_2184_2287.jpg,13,1,0.874,0.995,13
question_20_2184_2287.jpg,13,1,0.874,0.953,13
question_21_2287_2388.jpg,14,out,0.997,0.803,JSON
question_2_70_183.jpg,,,0.0,0.0,JSON
question_9_860_975.jpg,4,,1.0,0.0,JSON
question_10_975_1090.jpg,5,,1.0,0.0,JSON
question_11_1090_1341.jpg,out,,0.158,0.0,JSON
question_16_1761_1868.jpg,out,,0.212,0.0,JSON
